epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2681.3,1.74272,1.18763,1.529,0.64587,0.53693,0.5751,0.2814,1.60589,1.06572,1.43851,0.0013664,0.0013664,0.0013664
66,2721.05,1.65746,1.16796,1.55201,0.65812,0.52273,0.5767,0.2932,1.59594,1.08412,1.42829,0.0013565,0.0013565,0.0013565
67,2761.16,1.66276,1.17411,1.55668,0.67807,0.52841,0.60315,0.30369,1.53284,1.04866,1.39352,0.0013466,0.0013466,0.0013466
68,2803.43,1.66597,1.15992,1.54124,0.69779,0.51136,0.57756,0.28951,1.58548,1.0918,1.42511,0.0013367,0.0013367,0.0013367
69,2843.3,1.66483,1.19118,1.55817,0.68746,0.54119,0.60557,0.30338,1.59273,1.08276,1.43364,0.0013268,0.0013268,0.0013268
70,2883.63,1.67093,1.15701,1.53768,0.63908,0.54831,0.58664,0.28342,1.58426,1.07411,1.40783,0.0013169,0.0013169,0.0013169
71,2923.97,1.68561,1.20672,1.53427,0.62291,0.54203,0.57792,0.28957,1.58629,1.11384,1.41702,0.001307,0.001307,0.001307
72,2965.86,1.62086,1.13813,1.49458,0.66479,0.54688,0.59053,0.29693,1.5621,1.07261,1.40341,0.0012971,0.0012971,0.0012971
73,3005.52,1.66484,1.20943,1.56297,0.66335,0.52841,0.59009,0.29486,1.56969,1.06055,1.41143,0.0012872,0.0012872,0.0012872
74,3046.19,1.61445,1.19186,1.52273,0.64896,0.55671,0.58374,0.29539,1.58716,1.08884,1.4264,0.0012773,0.0012773,0.0012773
75,3088.57,1.62281,1.15352,1.50605,0.63596,0.55682,0.58982,0.30835,1.54706,1.05251,1.40763,0.0012674,0.0012674,0.0012674
76,3129.76,1.59388,1.14784,1.54073,0.63699,0.5483,0.59623,0.29984,1.52967,1.09386,1.37492,0.0012575,0.0012575,0.0012575
77,3170.46,1.58224,1.09046,1.50572,0.66796,0.52557,0.59667,0.30358,1.56516,1.03236,1.41416,0.0012476,0.0012476,0.0012476
78,3209.51,1.59088,1.14461,1.48534,0.66488,0.5483,0.60154,0.31193,1.54628,1.07709,1.40603,0.0012377,0.0012377,0.0012377
79,3252.73,1.60473,1.11331,1.49144,0.67602,0.53267,0.59487,0.30224,1.58694,1.07029,1.43431,0.0012278,0.0012278,0.0012278
80,3292.71,1.57904,1.10349,1.49525,0.611,0.59233,0.59705,0.3087,1.58927,1.04634,1.40889,0.0012179,0.0012179,0.0012179
81,3332.85,1.62268,1.08591,1.45047,0.64446,0.57674,0.62381,0.31303,1.55665,1.02189,1.40362,0.001208,0.001208,0.001208
82,3375.2,1.58563,1.07212,1.49225,0.68851,0.55682,0.61205,0.31249,1.53289,1.02455,1.3891,0.0011981,0.0011981,0.0011981
83,3415.69,1.56163,1.08206,1.48565,0.65641,0.57258,0.60755,0.31368,1.55342,1.00829,1.40647,0.0011882,0.0011882,0.0011882
84,3454.49,1.53136,1.07258,1.49079,0.64745,0.5452,0.60566,0.31314,1.53432,1.04848,1.4141,0.0011783,0.0011783,0.0011783
85,3494.46,1.54369,1.06413,1.46453,0.65672,0.5483,0.5987,0.30634,1.54878,1.05573,1.42256,0.0011684,0.0011684,0.0011684
86,3536.5,1.52901,1.00941,1.47801,0.67717,0.56015,0.61561,0.30988,1.54086,1.02926,1.41089,0.0011585,0.0011585,0.0011585
87,3577,1.52808,1.02175,1.4314,0.61517,0.56392,0.59096,0.30049,1.54842,1.04988,1.40743,0.0011486,0.0011486,0.0011486
88,3617.16,1.54478,1.04888,1.47065,0.65671,0.5652,0.61287,0.31867,1.53221,1.08207,1.4153,0.0011387,0.0011387,0.0011387
89,3658.05,1.54266,1.02391,1.43993,0.71478,0.56244,0.6254,0.3301,1.51451,1.01585,1.3914,0.0011288,0.0011288,0.0011288
90,3701.14,1.53553,1.0389,1.43523,0.70092,0.53693,0.60678,0.31164,1.51454,1.02379,1.37938,0.0011189,0.0011189,0.0011189
91,3741.1,1.53498,1.03973,1.42496,0.66039,0.56348,0.60423,0.31201,1.58594,1.1542,1.43459,0.001109,0.001109,0.001109
92,3781.26,1.49598,1.01452,1.44652,0.68509,0.56241,0.60881,0.3073,1.53661,1.06614,1.42619,0.0010991,0.0010991,0.0010991
93,3823,1.46228,0.98459,1.41018,0.64663,0.57964,0.61222,0.31668,1.55191,1.11922,1.42345,0.0010892,0.0010892,0.0010892
94,3862.12,1.5054,1.03043,1.4488,0.68444,0.57921,0.63193,0.33134,1.51512,0.99819,1.42995,0.0010793,0.0010793,0.0010793
95,3903.11,1.53445,1.06795,1.48553,0.64823,0.56676,0.60527,0.30885,1.54144,1.00295,1.41135,0.0010694,0.0010694,0.0010694
96,3942.77,1.51315,0.99783,1.41413,0.66706,0.5692,0.62813,0.32901,1.54058,0.9838,1.42174,0.0010595,0.0010595,0.0010595
97,3983.81,1.46671,0.97878,1.41905,0.68448,0.58381,0.63041,0.33163,1.52338,0.96744,1.40564,0.0010496,0.0010496,0.0010496
98,4024.87,1.47149,0.9649,1.41199,0.69797,0.55824,0.62392,0.32753,1.53241,0.974,1.43008,0.0010397,0.0010397,0.0010397
99,4063.77,1.46328,0.97749,1.44161,0.67662,0.56818,0.62981,0.33221,1.51294,0.99649,1.39819,0.0010298,0.0010298,0.0010298
100,4104.43,1.45523,0.95548,1.38313,0.6871,0.57812,0.62308,0.33142,1.51673,0.97999,1.41637,0.0010199,0.0010199,0.0010199
101,4145.63,1.44647,0.95786,1.42387,0.708,0.57172,0.61617,0.3236,1.52674,0.98133,1.44096,0.00101,0.00101,0.00101
102,4186.43,1.47294,0.98289,1.42639,0.68806,0.5767,0.62674,0.3238,1.56099,0.97672,1.45149,0.0010001,0.0010001,0.0010001
103,4226.42,1.44485,0.95728,1.40667,0.70637,0.57067,0.62473,0.33513,1.50203,0.96199,1.43308,0.0009902,0.0009902,0.0009902
104,4268.62,1.50544,0.95967,1.43474,0.66993,0.55642,0.61341,0.31728,1.51086,0.96654,1.41832,0.0009803,0.0009803,0.0009803
105,4307.98,1.42844,0.93935,1.37092,0.69642,0.56534,0.6167,0.31934,1.55244,0.97933,1.42838,0.0009704,0.0009704,0.0009704
106,4347.66,1.41101,0.92806,1.40247,0.6726,0.58097,0.61799,0.33299,1.49754,0.94411,1.4101,0.0009605,0.0009605,0.0009605
107,4387.44,1.5065,0.97021,1.3893,0.65149,0.61604,0.61584,0.32646,1.51037,0.96266,1.42342,0.0009506,0.0009506,0.0009506
108,4429.35,1.41532,0.93565,1.3929,0.69892,0.58097,0.62762,0.33413,1.48342,0.94216,1.41958,0.0009407,0.0009407,0.0009407
109,4467.97,1.41171,0.90688,1.37249,0.69059,0.57528,0.6337,0.333,1.55581,0.93808,1.47303,0.0009308,0.0009308,0.0009308
110,4507.86,1.44273,0.924,1.38467,0.69536,0.57102,0.61393,0.32491,1.53278,0.96383,1.44533,0.0009209,0.0009209,0.0009209
111,4549.66,1.39179,0.90138,1.39743,0.67926,0.57757,0.62713,0.33448,1.50113,0.96341,1.40682,0.000911,0.000911,0.000911
112,4589.75,1.42217,0.93016,1.39874,0.68251,0.57101,0.61838,0.32556,1.53445,0.96145,1.46326,0.0009011,0.0009011,0.0009011
113,4629.21,1.37901,0.90021,1.35826,0.68755,0.58665,0.6234,0.32837,1.53511,0.94587,1.42884,0.0008912,0.0008912,0.0008912
114,4669.02,1.40165,0.90169,1.34857,0.7009,0.5483,0.61189,0.31533,1.54381,0.96135,1.49139,0.0008813,0.0008813,0.0008813
115,4710.66,1.41604,0.9418,1.3573,0.71615,0.57812,0.63815,0.33279,1.51508,0.96308,1.41538,0.0008714,0.0008714,0.0008714
116,4751.4,1.4122,0.89591,1.3434,0.72383,0.56217,0.62828,0.32815,1.51761,1.01861,1.42491,0.0008615,0.0008615,0.0008615
117,4791.72,1.36375,0.88108,1.35932,0.71696,0.56392,0.62583,0.31998,1.58063,0.97688,1.45895,0.0008516,0.0008516,0.0008516
118,4831.01,1.40443,0.92858,1.36682,0.73243,0.59101,0.64577,0.3375,1.52376,0.945,1.43089,0.0008417,0.0008417,0.0008417
119,4873.26,1.38332,0.89518,1.34102,0.72363,0.58393,0.64868,0.33788,1.49845,0.95096,1.41958,0.0008318,0.0008318,0.0008318
120,4914.06,1.35008,0.86971,1.35283,0.68998,0.59118,0.63808,0.33628,1.4925,0.95066,1.43201,0.0008219,0.0008219,0.0008219
121,4954.27,1.36631,0.85798,1.31027,0.69734,0.5767,0.63206,0.33206,1.52971,0.95704,1.43216,0.000812,0.000812,0.000812
122,4995.61,1.38132,0.87512,1.32621,0.71489,0.60938,0.64632,0.34016,1.50002,0.91006,1.43197,0.0008021,0.0008021,0.0008021
123,5036.71,1.35731,0.83501,1.31895,0.73274,0.59801,0.6406,0.33988,1.50379,0.94087,1.44405,0.0007922,0.0007922,0.0007922
124,5077,1.37297,0.86127,1.31511,0.67894,0.60653,0.62274,0.33524,1.50931,1.00311,1.43648,0.0007823,0.0007823,0.0007823
125,5116.16,1.33767,0.87564,1.35169,0.71721,0.56676,0.63133,0.33616,1.52095,0.92546,1.45358,0.0007724,0.0007724,0.0007724
126,5158.31,1.38027,0.86031,1.34602,0.69671,0.61222,0.65257,0.34451,1.49438,0.91911,1.44061,0.0007625,0.0007625,0.0007625
127,5199.4,1.32883,0.84336,1.32068,0.69904,0.58397,0.62827,0.33102,1.48937,0.92586,1.44072,0.0007526,0.0007526,0.0007526
128,5239.06,1.34867,0.85391,1.34098,0.67793,0.61648,0.64636,0.34026,1.52774,0.93381,1.4858,0.0007427,0.0007427,0.0007427
129,5280.74,1.31608,0.81985,1.30746,0.71106,0.59375,0.63622,0.34467,1.52261,0.91847,1.47327,0.0007328,0.0007328,0.0007328
130,5319.7,1.33416,0.8485,1.30871,0.71769,0.59375,0.63848,0.34032,1.49936,1.0541,1.43034,0.0007229,0.0007229,0.0007229
131,5359.84,1.28625,0.79074,1.30396,0.69265,0.61506,0.63849,0.34287,1.51676,0.97711,1.44198,0.000713,0.000713,0.000713
132,5401.35,1.28894,0.8165,1.33165,0.67185,0.60795,0.62521,0.33037,1.51875,0.93518,1.46356,0.0007031,0.0007031,0.0007031
133,5441.44,1.28784,0.78644,1.29809,0.71173,0.58949,0.64224,0.34463,1.50902,0.97724,1.41852,0.0006932,0.0006932,0.0006932
134,5481.66,1.27128,0.79413,1.29119,0.73514,0.59943,0.6409,0.34417,1.49703,0.94031,1.45307,0.0006833,0.0006833,0.0006833
135,5520.93,1.28063,0.80338,1.28501,0.70258,0.60085,0.63964,0.34352,1.48928,0.95822,1.44398,0.0006734,0.0006734,0.0006734
136,5562.24,1.25873,0.80075,1.28245,0.7332,0.60897,0.65459,0.34718,1.4918,0.90308,1.4531,0.0006635,0.0006635,0.0006635
137,5603.17,1.2397,0.76966,1.23339,0.72268,0.57955,0.63187,0.34129,1.53859,0.92028,1.47807,0.0006536,0.0006536,0.0006536
138,5643.08,1.25415,0.77686,1.2849,0.704,0.60511,0.63564,0.33976,1.50334,0.92197,1.45225,0.0006437,0.0006437,0.0006437
139,5684.69,1.25154,0.78893,1.25644,0.72475,0.59801,0.62952,0.33996,1.50213,0.92418,1.46411,0.0006338,0.0006338,0.0006338
140,5723.66,1.25214,0.76621,1.25312,0.73548,0.60032,0.638,0.34418,1.50611,0.90314,1.46631,0.0006239,0.0006239,0.0006239
141,5763.22,1.29403,0.79599,1.31962,0.6992,0.60227,0.63545,0.34466,1.47195,0.90111,1.4314,0.000614,0.000614,0.000614
142,5802.75,1.21518,0.75866,1.26849,0.75173,0.59353,0.6458,0.34989,1.4763,0.89201,1.44076,0.0006041,0.0006041,0.0006041
143,5844.74,1.24437,0.78861,1.27185,0.73626,0.57244,0.6312,0.33944,1.52289,0.91456,1.47714,0.0005942,0.0005942,0.0005942
144,5884.23,1.23027,0.75465,1.26913,0.74325,0.57244,0.6375,0.34702,1.48986,0.90172,1.47174,0.0005843,0.0005843,0.0005843
145,5922.93,1.21037,0.75756,1.23665,0.7024,0.59677,0.63877,0.34796,1.49104,0.9075,1.47249,0.0005744,0.0005744,0.0005744
146,5963.95,1.23035,0.75288,1.2528,0.72286,0.59943,0.64195,0.35154,1.47377,0.89411,1.45436,0.0005645,0.0005645,0.0005645
147,6004,1.31074,0.77908,1.2793,0.70918,0.58097,0.62893,0.34475,1.46854,0.89765,1.45721,0.0005546,0.0005546,0.0005546
148,6044.48,1.22717,0.78289,1.24897,0.73526,0.5878,0.62847,0.341,1.46724,0.91589,1.44109,0.0005447,0.0005447,0.0005447
149,6083.22,1.27967,0.79211,1.25043,0.69882,0.61364,0.64042,0.35122,1.44452,0.9151,1.43697,0.0005348,0.0005348,0.0005348
150,6125.19,1.21462,0.75318,1.26378,0.72619,0.599,0.65198,0.35735,1.46115,0.88952,1.44821,0.0005249,0.0005249,0.0005249
151,6167.05,1.23852,0.76095,1.24752,0.70304,0.60227,0.62599,0.3364,1.48361,0.90315,1.47229,0.000515,0.000515,0.000515
152,6207.74,1.19657,0.72795,1.23227,0.7047,0.6108,0.63487,0.34192,1.49103,0.91732,1.45841,0.0005051,0.0005051,0.0005051
153,6249.93,1.15535,0.74964,1.26225,0.6985,0.62784,0.63645,0.34844,1.47682,0.9171,1.46154,0.0004952,0.0004952,0.0004952
154,6289.86,1.19243,0.73339,1.20893,0.71755,0.59801,0.63682,0.34919,1.4659,0.90853,1.4617,0.0004853,0.0004853,0.0004853
155,6330.19,1.25082,0.76605,1.22072,0.71891,0.58949,0.62854,0.34978,1.47406,0.89796,1.46852,0.0004754,0.0004754,0.0004754
156,6370.71,1.19397,0.7323,1.22409,0.6971,0.60369,0.63309,0.34496,1.47634,0.89058,1.46139,0.0004655,0.0004655,0.0004655
157,6412.4,1.16954,0.71412,1.22519,0.68751,0.61252,0.62725,0.34904,1.46701,0.89193,1.48915,0.0004556,0.0004556,0.0004556
158,6453.08,1.22047,0.72796,1.2586,0.7368,0.59375,0.64672,0.35109,1.48492,0.88515,1.48954,0.0004457,0.0004457,0.0004457
159,6493.68,1.18046,0.71235,1.21843,0.72483,0.58665,0.63671,0.34911,1.46732,0.92569,1.4463,0.0004358,0.0004358,0.0004358
160,6535.2,1.1609,0.7042,1.22038,0.71355,0.60085,0.63288,0.35269,1.43835,0.89679,1.46258,0.0004259,0.0004259,0.0004259
161,6575.62,1.1887,0.74597,1.2431,0.66657,0.61364,0.64039,0.35111,1.46263,0.89916,1.45512,0.000416,0.000416,0.000416
162,6616.14,1.12154,0.69711,1.20377,0.69947,0.60938,0.63393,0.35125,1.4429,0.89483,1.45625,0.0004061,0.0004061,0.0004061
163,6659.01,1.1708,0.71179,1.22915,0.69651,0.6108,0.63418,0.35173,1.43064,0.88871,1.44817,0.0003962,0.0003962,0.0003962
164,6698.64,1.12964,0.69355,1.20105,0.68683,0.61222,0.64286,0.35554,1.4343,0.88049,1.4451,0.0003863,0.0003863,0.0003863
165,6739.24,1.15236,0.70383,1.17595,0.7065,0.625,0.65034,0.36121,1.44657,0.86435,1.46056,0.0003764,0.0003764,0.0003764
166,6782.31,1.18324,0.72206,1.21898,0.70342,0.59517,0.64184,0.35235,1.45838,0.86893,1.47471,0.0003665,0.0003665,0.0003665
167,6822.8,1.10422,0.6975,1.20004,0.74253,0.5899,0.64071,0.35264,1.48477,0.8886,1.47411,0.0003566,0.0003566,0.0003566
168,6863.26,1.16129,0.70966,1.20653,0.71588,0.60845,0.63755,0.35073,1.48221,0.89993,1.47518,0.0003467,0.0003467,0.0003467
169,6902.73,1.09569,0.66958,1.18246,0.71993,0.61222,0.64073,0.35702,1.46466,0.8668,1.47997,0.0003368,0.0003368,0.0003368
170,6944.64,1.11021,0.66925,1.20058,0.69761,0.61934,0.64531,0.35739,1.47126,0.87071,1.48361,0.0003269,0.0003269,0.0003269
171,6985.68,1.13039,0.68145,1.20332,0.72781,0.62074,0.65279,0.35912,1.47452,0.88208,1.49547,0.000317,0.000317,0.000317
172,7025.97,1.06544,0.65177,1.16669,0.72698,0.60516,0.64252,0.36621,1.44774,0.87104,1.47621,0.0003071,0.0003071,0.0003071
